WARNING: 09:37:28 - __main__:  Error updating the Picarro Gas buffer timestamp: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Gas buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Gas buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Gas buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Gas buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Gas buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Gas buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Water buffer timestamp: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Water buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Water buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Water buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Water buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Water buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Picarro Water buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Laser Distance Sensor buffer timestamp: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Laser Distance Sensor buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Laser Distance Sensor buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Abakus Particle Counter buffer timestamp: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Abakus Particle Counter buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Abakus Particle Counter buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Abakus Particle Counter buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Flowmeter buffer timestamp: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Flowmeter buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Flowmeter buffer data: 'NoneType' object is not subscriptable
WARNING: 09:37:28 - __main__:  Error updating the Bronkhorst Pressure buffer timestamp: 'NoneType' object is not subscriptable
