Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1743638550.4928856,nan,nan,nan,nan,nan,nan,1743638550.4928856,nan,nan,nan,nan,nan,nan,1743638550.4928856,nan,nan,1743638550.4928856,nan,nan,nan,1743638550.4928856,nan,nan,1743638570.6350877,nan,nan,nan,nan,1743638550.4928856,nan
1743638570.8012688,39.993,22526.434,0.044,82.839,0.362,0.014,1743638570.6958067,50.003,25691.063,35921.972,-34.563,-336.734,6.0,1743638570.7103174,nan,-3.1,1743638570.6350877,32276,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18489, 4250, 1708, 1085, 836, 673, 1005, 735, 555, 432, 356, 289, 243, 213, 176, 137, 175, 123, 108, 78, 77, 81, 66, 47, 65, 56, 36, 31, 26, 41, 25, 59]",1743638570.8472261,3706.4000000000005,21.435733333333328,1743638571.6292953,nan,nan,nan,nan,1743638550.4928856,nan
1743638572.6978235,40.038,22579.955,0.086,84.29,0.362,0.014,1743638572.6943069,50.002,25692.796,35915.53,-34.277,-336.906,6.0,1743638572.7118373,nan,-3.1,1743638572.636719,32358,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18536, 4258, 1712, 1090, 840, 675, 1010, 736, 556, 433, 356, 290, 243, 213, 176, 137, 175, 124, 109, 78, 77, 81, 66, 47, 65, 56, 36, 31, 27, 41, 25, 59]",1743638572.8511257,3242.213333333334,25.730799999999995,1743638573.6382263,nan,nan,nan,nan,1743638550.4928856,nan
1743638573.7089045,40.038,22579.955,0.086,84.29,0.362,0.014,1743638573.698364,50.002,25692.796,35915.53,-34.277,-336.906,6.0,1743638573.7089045,nan,-3.2,1743638573.625718,32400,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18561, 4262, 1717, 1090, 841, 675, 1011, 737, 556, 433, 356, 291, 244, 213, 176, 138, 176, 124, 109, 79, 77, 81, 66, 47, 65, 56, 36, 31, 27, 41, 25, 59]",1743638573.8295543,nan,21.40426666666667,1743638574.6561415,nan,nan,nan,nan,1743638550.4928856,nan
1743638574.7224798,40.069,22667.119,0.049,85.598,0.363,0.017,1743638574.7224798,50.0,25690.61,35947.468,-34.348,-336.611,6.0,1743638574.7279952,nan,-3.3,1743638574.6561415,32440,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18586, 4266, 1719, 1095, 842, 675, 1013, 737, 556, 433, 356, 292, 244, 213, 176, 138, 176, 124, 109, 79, 77, 81, 66, 47, 65, 56, 36, 31, 27, 41, 25, 59]",1743638574.878911,3597.48,21.1952,1743638575.6655924,nan,nan,nan,nan,1743638550.4928856,nan
1743638575.8198645,40.069,22667.119,0.049,85.598,0.363,0.017,1743638575.7259238,49.999,25689.477,35955.193,-34.256,-336.077,6.0,1743638575.7512083,nan,-3.3,1743638575.6655924,32483,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18609, 4273, 1721, 1096, 843, 677, 1014, 740, 557, 433, 356, 293, 244, 213, 176, 138, 176, 124, 109, 79, 78, 81, 66, 47, 65, 56, 36, 31, 27, 41, 25, 59]",1743638575.8911214,3515.5466666666666,21.745733333333337,1743638576.6549366,nan,nan,nan,nan,1743638550.4928856,nan
1743638576.719146,40.061,22669.532,0.049,84.197,0.362,0.017,1743638576.7211611,49.999,25689.477,35955.193,-34.256,-336.077,6.0,1743638576.7376916,nan,-3.4,1743638576.6549366,32524,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18634, 4276, 1723, 1099, 843, 677, 1015, 741, 558, 434, 356, 294, 245, 213, 176, 138, 176, 124, 110, 80, 78, 81, 66, 47, 65, 56, 36, 31, 27, 41, 25, 59]",1743638576.8787203,3172.893333333334,24.4,1743638577.6664424,nan,nan,nan,nan,1743638550.4928856,nan
1743638577.7268465,40.026,22682.369,0.037,84.197,0.362,0.012,1743638577.7268465,49.999,25688.717,35994.76,-34.399,-336.963,6.0,1743638577.7368653,nan,-3.4,1743638577.6524298,32570,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18663, 4283, 1723, 1101, 846, 678, 1016, 741, 558, 434, 357, 294, 245, 213, 176, 139, 176, 124, 111, 80, 78, 81, 66, 47, 65, 56, 36, 31, 27, 41, 25, 59]",1743638577.8880513,3153.4266666666667,nan,1743638578.665079,nan,nan,nan,nan,1743638550.4928856,nan
1743638578.7253592,40.042,22711.27,0.037,83.356,0.362,0.012,1743638578.7173154,49.999,25688.717,35994.76,-34.399,-336.963,6.0,1743638578.735901,nan,-3.4,1743638578.6510417,32618,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18690, 4290, 1725, 1103, 847, 679, 1017, 745, 559, 435, 357, 294, 245, 213, 176, 139, 177, 124, 111, 80, 78, 81, 66, 47, 65, 56, 36, 31, 27, 41, 25, 59]",1743638578.8765395,3632.2266666666665,21.907200000000007,1743638579.682474,nan,nan,nan,nan,1743638550.4928856,nan
1743638578.7253592,40.042,22711.27,0.037,83.356,0.362,0.012,1743638578.7173154,49.999,25688.717,35994.76,-34.399,-336.963,6.0,1743638578.735901,nan,-3.4,1743638578.6510417,32618,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18690, 4290, 1725, 1103, 847, 679, 1017, 745, 559, 435, 357, 294, 245, 213, 176, 139, 177, 124, 111, 80, 78, 81, 66, 47, 65, 56, 36, 31, 27, 41, 25, 59]",1743638578.8765395,3632.2266666666665,21.907200000000007,1743638579.682474,nan,nan,nan,nan,1743638550.4928856,nan
1743638581.0297146,40.015,22724.35,0.032,83.059,0.362,0.012,1743638580.762109,49.996,25684.657,35988.823,-34.607,-336.551,6.0,1743638580.762109,nan,-3.3,1743638580.692401,32707,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[18742, 4302, 1732, 1106, 850, 680, 1022, 747, 559, 435, 357, 295, 246, 214, 176, 139, 177, 124, 111, 80, 78, 81, 66, 47, 65, 57, 36, 31, 27, 41, 25, 59]",1743638580.9035552,3076.3599999999997,23.028399999999998,1743638581.691167,nan,nan,nan,nan,1743638550.4928856,nan
