Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1742582782.6124187,39.991,22876.922,0.031,5.597,0.0,0.007,1742582782.6623447,50.0,25734.015,31937.704,-5.576,-44.004,1.0,1742582782.8098848,88.3,-3.5,1742582782.550118,0,1742582782.7746577,4781.746666666665,10.872933333333332,1742582783.538975,nan,nan,nan,nan,1742582768.35648,nan
1742582783.58706,40.011,22880.932,0.031,5.597,0.0,0.007,1742582783.5890534,50.0,25733.964,31944.368,-6.18,-44.633,1.0,1742582783.7862089,88.14,-3.5,1742582783.5379639,0,1742582783.7503307,4791.0,nan,1742582784.5256565,nan,nan,nan,nan,1742582768.35648,nan
1742582784.5932744,40.008,22879.763,0.031,5.556,0.0,0.007,1742582784.5950696,49.998,25732.595,31933.524,-6.193,-44.963,1.0,1742582784.8101864,88.01,-3.5,1742582784.523662,4127,1742582784.7408059,4248.2,11.693466666666666,1742582785.5514283,nan,nan,nan,nan,1742582768.35648,nan
1742582784.5932744,40.008,22879.763,0.031,5.556,0.0,0.007,1742582784.5950696,49.998,25732.595,31933.524,-6.193,-44.963,1.0,1742582784.8101864,88.01,-3.5,1742582784.523662,4127,1742582784.7408059,4248.2,11.693466666666666,1742582785.5514283,nan,nan,nan,nan,1742582768.35648,nan
1742582786.6090302,40.062,22952.32,0.015,5.45,0.001,0.008,1742582786.6125329,49.997,25728.774,31900.708,-6.242,-45.309,1.0,1742582786.795571,88.3,-3.5,1742582786.5531788,5048,1742582786.7736645,4081.293333333333,11.09413333333333,1742582787.5547767,nan,nan,nan,nan,1742582768.35648,nan
1742582787.6156912,40.062,22952.32,0.02,5.45,0.001,0.008,1742582787.638633,49.998,25728.52,31901.141,-6.267,-45.293,1.0,1742582787.7717948,88.22,-3.6,1742582787.5515752,5518,1742582787.7631621,4457.919999999999,11.5748,1742582788.5511203,nan,nan,nan,nan,1742582768.35648,nan
1742582788.6096842,40.02,22961.147,0.02,5.485,0.001,0.007,1742582788.610681,50.0,25729.129,31888.134,-5.94,-44.642,1.0,1742582788.7792997,88.23,-3.6,1742582788.5481565,5955,1742582788.7708454,4800.173333333333,12.1172,1742582789.5548623,nan,nan,nan,nan,1742582768.35648,nan
1742582789.6117427,40.021,22966.031,0.03,5.485,0.001,0.007,1742582789.6127396,50.0,25729.757,31910.745,-5.857,-45.495,1.0,1742582789.7862508,88.29,-3.6,1742582789.552869,6352,1742582789.7778432,3822.693333333334,11.584000000000003,1742582790.5433831,nan,nan,nan,nan,1742582768.35648,nan
1742582789.6117427,40.021,22966.031,0.03,5.485,0.001,0.007,1742582789.6127396,50.0,25729.757,31910.745,-5.857,-45.495,1.0,1742582789.7862508,88.29,-3.6,1742582789.552869,6352,1742582789.7778432,3822.693333333334,11.584000000000003,1742582790.5433831,nan,nan,nan,nan,1742582768.35648,nan
1742582791.5972216,39.994,22966.536,0.03,5.338,0.001,0.01,1742582791.598218,49.998,25728.786,31919.32,-6.148,-45.138,1.0,1742582791.7564275,88.37,-3.7,1742582791.537925,7198,1742582791.7602148,4579.306666666666,11.417066666666667,1742582792.5457063,nan,nan,nan,nan,1742582768.35648,nan
1742582791.5972216,39.994,22966.536,0.03,5.338,0.001,0.01,1742582791.598218,49.998,25728.786,31919.32,-6.148,-45.138,1.0,1742582791.7564275,88.37,-3.7,1742582791.537925,7198,1742582791.7602148,4579.306666666666,11.417066666666667,1742582792.5457063,nan,nan,nan,nan,1742582768.35648,nan
1742582792.6005778,39.994,22966.536,0.007,5.338,0.001,0.01,1742582792.6005778,50.004,25732.921,31890.561,-5.241,-44.879,1.0,1742582792.7658048,88.54,-3.6,1742582792.5437398,7598,1742582792.766787,3928.0133333333342,nan,1742582793.5500588,nan,nan,nan,nan,1742582768.35648,nan
1742582793.6088014,39.996,22966.821,0.007,5.338,0.001,0.008,1742582793.6088014,50.001,25732.099,31902.433,-5.977,-45.321,1.0,1742582793.7707918,88.49,-3.6,1742582793.5480545,8032,1742582793.7737627,5045.880000000001,nan,1742582794.5515425,nan,nan,nan,nan,1742582768.35648,nan
1742582795.608006,40.004,22959.783,0.007,5.382,-0.0,0.01,1742582795.6164188,50.0,25733.142,31880.235,-6.11,-44.613,1.0,1742582795.770663,88.61,-3.4,1742582795.5501537,8887,1742582795.7716997,4713.946666666667,11.942400000000001,1742582796.5427697,nan,nan,nan,nan,1742582768.35648,nan
1742582795.608006,40.004,22959.783,0.007,5.382,-0.0,0.01,1742582795.6164188,50.0,25733.142,31880.235,-6.11,-44.613,1.0,1742582795.770663,88.61,-3.4,1742582795.5501537,8887,1742582795.7716997,4713.946666666667,11.942400000000001,1742582796.5427697,nan,nan,nan,nan,1742582768.35648,nan
1742582796.5975282,39.999,22948.004,0.004,5.395,0.001,0.01,1742582796.6069577,50.001,25733.791,31880.316,-6.379,-45.578,1.0,1742582796.7640035,88.79,-3.2,1742582796.540804,9289,1742582796.7640035,3453.04,nan,1742582797.5434427,nan,nan,nan,nan,1742582768.35648,nan
