Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Laser Distance Sensor: Melt Rate (cm/s),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Abakus Particle Counter: Incremental Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1749519304.6551218,nan,nan,nan,nan,nan,nan,1749519304.6551218,nan,nan,nan,nan,nan,nan,1749519304.223998,nan,-3.1,nan,1749519304.136896,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519304.3555655,9.56,-0.016000000000000007,1749519305.1574621,nan,nan,nan,nan,1749519262.9586105,nan
1749519306.6610668,nan,nan,nan,nan,nan,nan,1749519306.6610668,nan,nan,nan,nan,nan,nan,1749519306.222124,nan,-3.1,nan,1749519306.1494377,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519306.3694136,9.346666666666668,-0.016000000000000007,1749519307.148989,nan,nan,nan,nan,1749519262.9586105,nan
1749519306.6610668,nan,nan,nan,nan,nan,nan,1749519306.6610668,nan,nan,nan,nan,nan,nan,1749519306.222124,nan,-3.1,nan,1749519306.1494377,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519306.3694136,9.346666666666668,-0.016000000000000007,1749519307.148989,nan,nan,nan,nan,1749519262.9586105,nan
1749519307.659044,nan,nan,nan,nan,nan,nan,1749519307.659044,nan,nan,nan,nan,nan,nan,1749519307.2296371,nan,-3.0,nan,1749519307.1460187,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519307.3602273,9.34666666666667,-0.016800000000000002,1749519308.149251,nan,nan,nan,nan,1749519262.9586105,nan
1749519308.6622763,nan,nan,nan,nan,nan,nan,1749519308.6622763,nan,nan,nan,nan,nan,nan,1749519308.2217584,nan,-3.0,nan,1749519308.1472926,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519308.367677,8.946666666666664,-0.016000000000000007,1749519309.1502533,nan,nan,nan,nan,1749519262.9586105,nan
1749519310.662537,nan,nan,nan,nan,nan,nan,1749519310.662537,nan,nan,nan,nan,nan,nan,1749519310.2219472,nan,-2.7,nan,1749519310.148381,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519310.3665776,8.746666666666666,-0.01640000000000001,1749519311.1511562,nan,nan,nan,nan,1749519262.9586105,nan
1749519310.662537,nan,nan,nan,nan,nan,nan,1749519310.662537,nan,nan,nan,nan,nan,nan,1749519310.2219472,nan,-2.7,nan,1749519310.148381,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519310.3665776,8.746666666666666,-0.01640000000000001,1749519311.1511562,nan,nan,nan,nan,1749519262.9586105,nan
1749519312.6632438,nan,nan,nan,nan,nan,nan,1749519312.6632438,nan,nan,nan,nan,nan,nan,1749519312.2211213,nan,-2.6,nan,1749519312.1495044,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519312.3641176,8.786666666666665,-0.017199999999999997,1749519313.1491442,nan,nan,nan,nan,1749519262.9586105,nan
1749519312.6632438,nan,nan,nan,nan,nan,nan,1749519312.6632438,nan,nan,nan,nan,nan,nan,1749519312.2211213,nan,-2.6,nan,1749519312.1495044,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519312.3641176,8.786666666666665,-0.017199999999999997,1749519313.1491442,nan,nan,nan,nan,1749519262.9586105,nan
1749519313.6532733,nan,nan,nan,nan,nan,nan,1749519313.6532733,nan,nan,nan,nan,nan,nan,1749519313.2299948,nan,-2.5,nan,1749519313.146111,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749519313.3720608,8.559999999999999,-0.016000000000000007,1749519314.140835,nan,nan,nan,nan,1749519262.9586105,nan
