Core Length (cm),Core ID (core_section_segment),Timestamp (HH:MM:SS),Notes,Internal Timestamp (epoch)
57,2302_4A,11:48:44,,1742928969.8094008
25.5,2302_4B,12:07:50,,1742929801.705514
89.6,2302_5,12:15:24,,1742930170.4990237
57.7,AH2302_6B,12:51:50,,1742932360.7937698
