Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1742407685.4178467,nan,nan,nan,nan,nan,nan,1742407685.4178467,nan,nan,nan,nan,nan,nan,1742407685.4178467,nan,nan,1742407685.4178467,nan,1742407685.4178467,nan,nan,1742407714.8249552,nan,nan,nan,nan,1742407685.4178467,nan
1742407714.8750026,39.985,21850.643,0.097,21850.643,0.097,82.245,1742407714.8775425,50.002,25746.368,36060.879,-33.838,-332.209,6.0,1742407714.9384222,81.09,-3.2,1742407714.821963,1050,1742407715.0433815,nan,24.721866666666674,1742407715.7971551,nan,nan,nan,nan,1742407685.4178467,nan
1742407714.8750026,39.985,21850.643,0.097,21850.643,0.097,82.245,1742407714.8775425,50.002,25746.368,36060.879,-33.838,-332.209,6.0,1742407714.9384222,81.09,-3.2,1742407714.821963,1050,1742407715.0433815,nan,24.721866666666674,1742407715.7971551,nan,nan,nan,nan,1742407685.4178467,nan
1742407716.8710146,40.019,21882.773,0.073,21882.773,0.073,81.528,1742407716.8742313,50.001,25747.664,36071.644,-33.986,-332.704,6.0,1742407716.9219124,81.09,-3.0,1742407716.8079226,1066,1742407717.0258403,nan,18.5328,1742407717.8158958,nan,nan,nan,nan,1742407685.4178467,nan
1742407716.8710146,40.019,21882.773,0.073,21882.773,0.073,81.528,1742407716.8742313,50.001,25747.664,36071.644,-33.986,-332.704,6.0,1742407716.9219124,81.09,-3.0,1742407716.8079226,1066,1742407717.0258403,nan,18.5328,1742407717.8158958,nan,nan,nan,nan,1742407685.4178467,nan
1742407718.8692489,40.028,21912.363,0.082,21912.363,0.082,82.332,1742407718.8702524,50.002,25752.956,36086.142,-34.121,-333.482,6.0,1742407718.922646,81.09,-2.8,1742407718.8014803,1078,1742407719.024708,nan,20.592,1742407732.9516008,nan,nan,nan,nan,1742407685.4178467,nan
1742407750.3479633,nan,nan,nan,nan,nan,nan,1742407750.3479633,nan,nan,nan,nan,nan,nan,1742407750.3479633,nan,nan,1742407750.3479633,nan,1742407750.3479633,nan,nan,1742407770.750207,nan,nan,nan,nan,1742407750.3479633,nan
1742407771.034601,40.044,21905.811,0.061,21905.811,0.061,79.763,1742407770.8009033,49.998,25750.026,36150.219,-33.826,-332.802,6.0,1742407770.8699934,81.06,-3.0,1742407770.7476282,1322,1742407770.9672105,354.0133333333332,21.406666666666673,1742407771.7599106,nan,nan,nan,nan,1742407750.3479633,nan
1742407771.8362374,40.046,21920.488,0.116,21920.488,0.116,79.763,1742407771.8282793,50.001,25750.805,36181.735,-34.409,-332.548,6.0,1742407771.8869596,81.08,-3.1,1742407771.7579157,1325,1742407771.9747236,372.68000000000006,15.880133333333337,1742407772.7566736,nan,nan,nan,nan,1742407750.3479633,nan
1742407772.8284814,40.017,21929.162,0.116,21929.162,0.116,79.763,1742407772.8175101,49.999,25747.886,36184.064,-34.449,-332.451,6.0,1742407772.8791318,81.08,-3.1,1742407772.7546759,1327,1742407772.9817233,550.2800000000001,25.702133333333332,1742407773.7638347,nan,nan,nan,nan,1742407750.3479633,nan
