Core Length (cm),Core ID (core_section_segment),Timestamp (HH:MM:SS),Notes,Internal Timestamp (epoch)
83.8,2201_1,15:23:01,,1742855023.6737094
67.8,2302-2,15:47:38,,1742856506.5320427
32.5,2302_3A,16:09:36,,1742857877.1064627
67.5,2302_3B,16:18:31,,1742858413.9292119
