Internal Timestamp (epoch),Core Length (units),Core ID,Timestamp (HH:MM:SS),Notes
1726073390.9168742,,,,
1726077809.7996347,42,00,11:02,"Been running for ~30 minutes, no degredation in performance"
1726079626.4170983,92,00,11:33,"Running for ~1hr, still looks good"
1726081299.0844376,-5,00,12:01,"About 1.5 hours and still good with shadow hardware, stopping stress test"
1726089673.6725566,36,01,14:20,checking yaml data directory setup
1726090749.1197793,0,0,0,testing
1726091289.8431287,,01,14:48,"returned file to its proper place, testing"
