Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Laser Distance Sensor: Melt Rate (cm/s),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Abakus Particle Counter: Incremental Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1749837329.8449774,nan,nan,nan,nan,nan,nan,1749837329.8449774,nan,nan,nan,nan,nan,nan,1749837329.8449774,nan,nan,nan,1749837329.8449774,nan,nan,nan,nan,1749837329.8449774,nan,nan,1749837329.8449774,nan,nan,nan,nan,1749837329.8449774,nan
1749837356.6852243,nan,nan,nan,nan,nan,nan,1749837356.230908,50.0,25763.533,9311.865,-12.36,-106.935,nan,1749837356.68653,63.76,-2.4,2.375509602837527,1749837356.173797,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837356.3874798,8.479999999999999,-0.01653333333333334,1749837356.2375126,500.0,101.02596347336797,1010.2559204101562,25.0,1749837329.8449774,nan
1749837357.6413622,nan,nan,nan,nan,nan,nan,1749837357.1745148,50.001,25764.806,9317.162,-12.725,-107.643,nan,1749837357.758267,63.73,-2.3,nan,1749837357.1253526,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837357.3468444,8.759999999999998,-0.01733333333333333,1749837357.1961617,500.0,101.02596347336797,1010.2735595703125,25.0,1749837329.8449774,nan
1749837358.6246796,nan,nan,nan,nan,nan,nan,1749837358.1812758,50.0,25765.39,9311.986,-12.31,-106.243,nan,1749837358.6702647,63.77,-2.2,nan,1749837358.1229239,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837358.337443,8.24,-0.018,1749837358.1864789,500.0,101.02283844356491,1010.2321166992188,25.0,1749837329.8449774,nan
1749837359.6354086,nan,nan,nan,nan,nan,nan,1749837359.1886868,49.999,25764.383,9314.672,-12.494,-107.152,nan,1749837359.7103105,63.83,-2.2,nan,1749837359.125575,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837359.3932564,8.893333333333334,-0.01573333333333334,1749837359.1928716,500.0,101.02908850317104,1010.278564453125,25.0,1749837329.8449774,nan
1749837360.6759894,nan,nan,nan,nan,nan,nan,1749837360.218095,49.999,25764.652,9313.33,-12.552,-107.798,nan,1749837360.6898997,63.78,-2.2,0.004371317635050814,1749837360.1563168,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837360.3828087,9.373333333333335,-0.016000000000000007,1749837360.2500098,500.0,101.01971341376185,1010.2305297851562,25.0,1749837329.8449774,nan
1749837361.6554363,nan,nan,nan,nan,nan,nan,1749837361.2074373,50.001,25764.895,9315.779,-12.71,-106.999,nan,1749837361.6470132,63.73,-2.2,nan,1749837361.1441755,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837361.358211,8.879999999999999,-0.016000000000000007,1749837361.241859,500.0,101.02596347336797,1010.25390625,25.0,1749837329.8449774,nan
1749837361.6554363,nan,nan,nan,nan,nan,nan,1749837361.2074373,50.001,25764.895,9315.779,-12.71,-106.999,nan,1749837361.6470132,63.73,-2.2,nan,1749837361.1441755,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837361.358211,8.879999999999999,-0.016000000000000007,1749837361.241859,500.0,101.02596347336797,1010.25390625,25.0,1749837329.8449774,nan
1749837363.6772158,nan,nan,nan,nan,nan,nan,1749837363.2179642,50.001,25765.191,9318.811,-13.208,-106.79,nan,1749837363.7437906,63.79,-2.3,nan,1749837363.1597123,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837363.372449,8.559999999999999,-0.016000000000000007,1749837363.234445,500.0,101.02908850317104,1010.2989501953125,25.0,1749837329.8449774,nan
1749837364.6609101,nan,nan,nan,nan,nan,nan,1749837364.2133656,50.0,25765.38,9316.401,-12.818,-107.636,nan,1749837364.704047,63.8,-2.3,-0.0006227972778764743,1749837364.159167,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1749837364.3788676,8.680000000000001,-0.016000000000000007,1749837364.2248216,500.0,101.02596347336797,1010.2685546875,25.0,1749837329.8449774,nan
