Core Length (cm),Core ID (core_section_segment),Timestamp (HH:MM:SS),Notes,Internal Timestamp (epoch)
,,11:12 3-19-25,testing logging! -ali,1742407989.9116845
,,11:40,Fixed picarro interpreter,1742409625.6802967
