Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1743642857.8287196,40.025,23219.264,-0.024,-0.512,0.0,0.004,1743642857.8217378,50.001,25693.623,36129.358,-40.644,-403.675,5.0,1743642857.8371782,nan,-3.0,1743642857.7638614,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642857.977396,2.3466666666666662,0.013466666666666672,1743642858.7890153,nan,nan,nan,nan,1743642827.3079169,nan
1743642857.8287196,40.025,23219.264,-0.024,-0.512,0.0,0.004,1743642857.8217378,50.001,25693.623,36129.358,-40.644,-403.675,5.0,1743642857.8371782,nan,-3.0,1743642857.7638614,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642857.977396,2.3466666666666662,0.013466666666666672,1743642858.7890153,nan,nan,nan,nan,1743642827.3079169,nan
1743642859.8447614,40.016,23215.611,-0.021,-0.516,0.001,0.004,1743642859.846757,50.004,25695.817,36096.22,-40.581,-402.297,5.0,1743642859.8547351,nan,-2.8,1743642859.780346,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642859.9918516,2.2,0.0068000000000000005,1743642860.784714,nan,nan,nan,nan,1743642827.3079169,nan
1743642859.8447614,40.016,23215.611,-0.021,-0.516,0.001,0.004,1743642859.846757,50.004,25695.817,36096.22,-40.581,-402.297,5.0,1743642859.8547351,nan,-2.8,1743642859.780346,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642859.9918516,2.2,0.0068000000000000005,1743642860.784714,nan,nan,nan,nan,1743642827.3079169,nan
1743642861.2167337,39.987,23206.271,-0.021,-0.516,0.001,0.006,1743642860.8481107,50.002,25695.649,36101.709,-40.633,-402.678,5.0,1743642860.8696113,nan,-2.8,1743642860.7815816,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642860.9984071,nan,-0.010133333333333333,1743642861.7684557,nan,nan,nan,nan,1743642827.3079169,nan
1743642861.8617144,40.003,23213.122,-0.021,-0.509,0.0,0.006,1743642861.8368165,50.003,25695.879,36106.768,-40.493,-403.45,5.0,1743642861.8368165,nan,-2.7,1743642861.7654583,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642861.9894803,2.933333333333334,0.008133333333333334,1743642862.7656863,nan,nan,nan,nan,1743642827.3079169,nan
1743642862.8624277,40.004,23211.436,0.003,-0.509,0.0,0.005,1743642862.830515,50.001,25695.774,36114.895,-40.266,-402.737,5.0,1743642862.8454726,nan,-2.7,1743642862.7636912,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642862.9811037,nan,-0.019733333333333332,1743642863.782481,nan,nan,nan,nan,1743642827.3079169,nan
1743642864.848105,40.011,23226.463,0.0,-0.54,0.001,0.003,1743642864.8451283,49.999,25697.228,36092.016,-40.77,-402.852,5.0,1743642864.8600733,nan,-2.7,1743642864.7623525,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642864.9792693,2.1333333333333333,-0.018,1743642865.7807572,nan,nan,nan,nan,1743642827.3079169,nan
1743642866.057257,40.011,23226.463,0.0,-0.54,0.001,0.003,1743642865.8411152,50.001,25699.304,36080.949,-40.445,-402.949,5.0,1743642865.8546543,nan,-2.7,1743642865.7620778,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642865.9866638,2.28,0.008933333333333337,1743642866.79357,nan,nan,nan,nan,1743642827.3079169,nan
1743642866.8650115,40.011,23226.463,0.0,-0.494,0.0,0.003,1743642866.852017,50.001,25699.604,36079.252,-40.723,-403.02,5.0,1743642866.8749902,nan,-2.7,1743642866.7727714,0,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]",nan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1743642867.009742,2.52,-0.0176,1743642867.7808707,nan,nan,nan,nan,1743642827.3079169,nan
