Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1743551318.7067735,nan,nan,nan,nan,nan,nan,1743551318.7067735,nan,nan,nan,nan,nan,nan,1743551318.7067735,nan,nan,1743551318.7067735,nan,1743551318.7067735,nan,nan,1743551330.8049216,nan,nan,nan,nan,1743551318.7067735,nan
1743551330.9115748,39.983,23708.857,0.015,1.569,0.0,0.006,1743551330.8814213,49.999,25667.406,9193.984,-36.071,-338.508,5.0,1743551330.888934,nan,-3.1,1743551330.8049216,0,1743551331.033003,2.4533333333333336,-0.005333333333333334,1743551331.8192246,nan,nan,nan,nan,1743551318.7067735,nan
1743551330.9115748,39.983,23708.857,0.015,1.569,0.0,0.006,1743551330.8814213,49.999,25667.406,9193.984,-36.071,-338.508,5.0,1743551330.888934,nan,-3.1,1743551330.8049216,0,1743551331.033003,2.4533333333333336,-0.005333333333333334,1743551331.8192246,nan,nan,nan,nan,1743551318.7067735,nan
1743551332.9328482,39.969,23687.971,-0.02,1.569,0.0,0.004,1743551332.888171,50.001,25670.121,7362.633,-36.791,-339.559,5.0,1743551332.9032485,nan,-2.9,1743551332.8278563,1,1743551333.038751,2.2400000000000007,-0.005600000000000002,1743551333.8447576,nan,nan,nan,nan,1743551318.7067735,nan
1743551332.9328482,39.969,23687.971,-0.02,1.569,0.0,0.004,1743551332.888171,50.001,25670.121,7362.633,-36.791,-339.559,5.0,1743551332.9032485,nan,-2.9,1743551332.8278563,1,1743551333.038751,2.2400000000000007,-0.005600000000000002,1743551333.8447576,nan,nan,nan,nan,1743551318.7067735,nan
1743551334.0413692,39.963,23671.826,-0.003,1.464,0.0,0.004,1743551333.8904266,50.003,25671.712,6599.256,-37.197,-340.219,5.0,1743551333.923878,nan,-2.8,1743551333.8447576,1,1743551334.0564477,nan,-0.006400000000000002,1743551334.8555837,nan,nan,nan,nan,1743551318.7067735,nan
1743551335.929989,39.994,23669.184,-0.003,1.526,0.001,0.003,1743551335.943001,50.004,25674.517,4785.003,-37.494,-339.172,5.0,1743551335.960095,nan,-2.7,1743551335.8823872,2,1743551336.0938334,2.0000000000000004,-0.006000000000000002,1743551336.8962562,nan,nan,nan,nan,1743551318.7067735,nan
1743551336.956625,40.013,23682.693,-0.008,1.526,0.001,0.005,1743551336.9476154,50.002,25674.344,4315.894,-37.692,-337.963,5.0,1743551336.9711387,nan,-2.6,1743551336.8897483,2,1743551337.1073062,2.4933333333333336,-0.003466666666666667,1743551337.8920796,nan,nan,nan,nan,1743551318.7067735,nan
1743551337.952306,40.023,23697.219,-0.008,1.493,0.001,0.005,1743551337.952306,50.0,25673.752,3901.511,-37.801,-338.184,5.0,1743551337.9825282,nan,-2.6,1743551337.8920796,2,1743551338.1093965,2.52,-0.006000000000000002,1743551338.9113398,nan,nan,nan,nan,1743551318.7067735,nan
1743551339.047327,40.029,23714.203,-0.021,1.493,0.001,0.007,1743551338.962625,49.998,25672.59,3530.461,-38.094,-339.985,5.0,1743551338.9872115,nan,-2.6,1743551338.8957176,2,1743551339.1120992,2.9600000000000004,-0.006000000000000002,1743551339.914752,nan,nan,nan,nan,1743551318.7067735,nan
1743551339.047327,40.029,23714.203,-0.021,1.493,0.001,0.007,1743551338.962625,49.998,25672.59,3530.461,-38.094,-339.985,5.0,1743551338.9872115,nan,-2.6,1743551338.8957176,2,1743551339.1120992,2.9600000000000004,-0.006000000000000002,1743551339.914752,nan,nan,nan,nan,1743551318.7067735,nan
1743551339.9723847,40.029,23714.203,-0.021,1.493,0.001,0.007,1743551339.9879315,49.995,25670.004,3200.86,-37.949,-338.254,5.0,1743551339.995473,nan,-2.7,1743551339.914752,2,1743551340.1386414,2.56,-0.004666666666666667,1743551340.8998551,nan,nan,nan,nan,1743551318.7067735,nan
1743551341.9969082,40.014,23767.18,-0.008,1.565,0.0,0.004,1743551341.9984736,49.995,25665.755,2412.041,-37.942,-340.85,5.0,1743551341.9984736,nan,-2.8,1743551341.93649,2,1743551342.1481113,2.2133333333333334,-0.0048000000000000004,1743551342.9578393,nan,nan,nan,nan,1743551318.7067735,nan
1743551341.9969082,40.014,23767.18,-0.008,1.565,0.0,0.004,1743551341.9984736,49.995,25665.755,2412.041,-37.942,-340.85,5.0,1743551341.9984736,nan,-2.8,1743551341.93649,2,1743551342.1481113,2.2133333333333334,-0.0048000000000000004,1743551342.9578393,nan,nan,nan,nan,1743551318.7067735,nan
1743551343.0026944,40.014,23767.18,-0.008,1.583,0.001,0.004,1743551343.0182416,49.996,25664.737,2206.836,-38.662,-344.221,5.0,1743551343.032865,nan,-2.9,1743551342.9423084,2,1743551343.1653624,2.3466666666666662,-0.005733333333333334,1743551343.934542,nan,nan,nan,nan,1743551318.7067735,nan
1743551344.0083137,39.999,23764.041,0.004,1.583,0.001,0.002,1743551343.999272,50.001,25666.541,2022.809,-38.722,-343.561,5.0,1743551344.0083137,nan,-2.9,1743551343.9174743,2,1743551344.1450624,2.453333333333333,-0.005466666666666667,1743551344.9551597,nan,nan,nan,nan,1743551318.7067735,nan
