Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min)
1726422930.3265038,-0.99,-0.001,-0.006,0.021,1726422930.325475,1.01,-2.3,1726422930.3244684,0,1726422930.325475,-0.8,-0.008
1726422931.3681226,-0.99,-0.001,-0.006,0.021,1726422931.367126,1.01,-2.3,1726422931.3651268,0,1726422931.3661323,-0.8,-0.008
1726422932.5277057,-0.99,-0.001,-0.006,0.021,1726422932.5267265,1.01,-2.3,1726422932.5245678,0,1726422932.5267265,-0.8,-0.008
1726422933.4292777,-0.99,-0.001,-0.006,0.021,1726422933.4292777,1.01,-2.3,1726422933.4273155,0,1726422933.4282775,-0.8,-0.008
1726422934.2707267,-0.99,-0.001,-0.006,0.021,1726422934.2696846,1.01,-2.3,1726422934.2671864,0,1726422934.2681406,-0.8,-0.008
1726422935.144429,-0.99,-0.001,-0.006,0.021,1726422935.144429,1.01,-2.3,1726422935.1424856,0,1726422935.1434321,-0.8,-0.008
1726422936.0181258,-0.99,-0.001,-0.006,0.021,1726422936.0181258,1.01,-2.3,1726422936.0161371,0,1726422936.0181258,-0.8,-0.008
1726422936.9791563,-0.99,-0.001,-0.006,0.021,1726422936.9791563,1.01,-2.3,1726422936.977164,0,1726422936.9781532,-0.8,-0.008
1726422937.8814018,-0.99,-0.001,-0.006,0.021,1726422937.8814018,1.01,-2.3,1726422937.8794436,0,1726422937.8804376,-0.8,-0.008
1726422938.7868483,-0.99,-0.001,-0.006,0.021,1726422938.7858448,1.01,-2.3,1726422938.7839012,0,1726422938.7858448,-0.8,-0.008
1726422939.6784375,-0.99,-0.001,-0.006,0.021,1726422939.6784375,1.01,-2.3,1726422939.6764386,0,1726422939.6774387,-0.8,-0.008
1726422940.5813758,-0.99,-0.001,-0.006,0.021,1726422940.5803764,1.01,-2.3,1726422940.5793772,0,1726422940.5803764,-0.8,-0.008
1726422941.5004199,-0.99,-0.001,-0.006,0.021,1726422941.499417,1.01,-2.3,1726422941.498438,0,1726422941.499417,-0.8,-0.008
1726422942.3844543,-0.99,-0.001,-0.006,0.021,1726422942.3834548,1.01,-2.3,1726422942.3824532,0,1726422942.3834548,-0.8,-0.008
1726422943.2930145,-0.99,-0.001,-0.006,0.021,1726422943.29202,1.01,-2.3,1726422943.2910476,0,1726422943.29202,-0.8,-0.008
1726422944.2177265,-0.99,-0.001,-0.006,0.021,1726422944.2177265,1.01,-2.3,1726422944.2167265,0,1726422944.2177265,-0.8,-0.008
1726422945.1133502,-0.99,-0.001,-0.006,0.021,1726422945.1133502,1.01,-2.3,1726422945.1114154,0,1726422945.1123505,-0.8,-0.008
1726422946.0054266,-0.99,-0.001,-0.006,0.021,1726422946.003249,1.01,-2.3,1726422946.0013103,0,1726422946.0022738,-0.8,-0.008
1726422946.894236,-0.99,-0.001,-0.006,0.021,1726422946.894072,1.01,-2.3,1726422946.8922436,0,1726422946.8935168,-0.8,-0.008
1726422947.7752602,-0.99,-0.001,-0.006,0.021,1726422947.7752602,1.01,-2.3,1726422947.7723663,0,1726422947.7742877,-0.8,-0.008
1726422948.6754463,-0.99,-0.001,-0.006,0.021,1726422948.6754463,1.01,-2.3,1726422948.6734533,0,1726422948.6744545,-0.8,-0.008
1726422949.5829902,-0.99,-0.001,-0.006,0.021,1726422949.5818834,1.01,-2.3,1726422949.5806606,0,1726422949.5818834,-0.8,-0.008
1726422950.5038579,-0.99,-0.001,-0.006,0.021,1726422950.5028505,1.01,-2.3,1726422950.5008519,0,1726422950.50186,-0.8,-0.008
1726422951.4301922,-0.99,-0.001,-0.006,0.021,1726422951.4292352,1.01,-2.3,1726422951.4282162,0,1726422951.4292352,-0.8,-0.008
1726422952.3826997,-0.99,-0.001,-0.006,0.021,1726422952.3826997,1.01,-2.3,1726422952.3807328,0,1726422952.3817,-0.8,-0.008
1726422953.316897,-0.99,-0.001,-0.006,0.021,1726422953.3158863,1.01,-2.3,1726422953.3144782,0,1726422953.3158863,-0.8,-0.008
1726422954.312722,-0.99,-0.001,-0.006,0.021,1726422954.312722,1.01,-2.3,1726422954.310776,0,1726422954.311723,-0.8,-0.008
1726422955.2680924,-0.99,-0.001,-0.006,0.021,1726422955.2680924,1.01,-2.3,1726422955.2663496,0,1726422955.2670724,-0.8,-0.008
1726422956.207435,-0.99,-0.001,-0.006,0.021,1726422956.2065656,1.01,-2.3,1726422956.2024665,0,1726422956.2044659,-0.8,-0.008
1726422957.1821256,-0.99,-0.001,-0.006,0.021,1726422957.181125,1.01,-2.3,1726422957.1799786,0,1726422957.181125,-0.8,-0.008
1726422958.1803174,-0.99,-0.001,-0.006,0.021,1726422958.1792977,1.01,-2.3,1726422958.1773517,0,1726422958.1783001,-0.8,-0.008
1726422959.111184,-0.99,-0.001,-0.006,0.021,1726422959.111184,1.01,-2.3,1726422959.109263,0,1726422959.1101835,-0.8,-0.008
1726422960.0788493,-0.99,-0.001,-0.006,0.021,1726422960.0788493,1.01,-2.3,1726422960.076905,0,1726422960.0778697,-0.8,-0.008
1726422961.0277486,-0.99,-0.001,-0.006,0.021,1726422961.0267205,1.01,-2.3,1726422961.0254536,0,1726422961.0267205,-0.8,-0.008
1726422961.9787288,-0.99,-0.001,-0.006,0.021,1726422961.9787288,1.01,-2.3,1726422961.9767053,0,1726422961.9776955,-0.8,-0.008
1726422962.9125504,-0.99,-0.001,-0.006,0.021,1726422962.911549,1.01,-2.3,1726422962.909624,0,1726422962.911549,-0.8,-0.008
1726422963.8969686,-0.99,-0.001,-0.006,0.021,1726422963.8960216,1.01,-2.3,1726422963.894974,0,1726422963.8960216,-0.8,-0.008
1726422964.8436096,-0.99,-0.001,-0.006,0.021,1726422964.8436096,1.01,-2.3,1726422964.840597,0,1726422964.8426619,-0.8,-0.008
1726422965.7843423,-0.99,-0.001,-0.006,0.021,1726422965.7841413,1.01,-2.3,1726422965.7821405,0,1726422965.7832181,-0.8,-0.008
1726422966.72503,-0.99,-0.001,-0.006,0.021,1726422966.7240229,1.01,-2.3,1726422966.7205975,0,1726422966.7230551,-0.8,-0.008
1726422967.6854305,-0.99,-0.001,-0.006,0.021,1726422967.6854305,1.01,-2.3,1726422967.683452,0,1726422967.6843991,-0.8,-0.008
