Picarro Gas: time (epoch),Picarro Gas: CavityPressure,Picarro Gas: OutletValve,Picarro Gas: CO,Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: H2O,Picarro Water: time (epoch),Picarro Water: CavityPressure,Picarro Water: OutletValve,Picarro Water: H2O,Picarro Water: Delta_18,Picarro Water: Delta_D,Picarro Water: ValcoPosition,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Abakus Particle Counter: Bins,Abakus Particle Counter: Counts/Bin,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1744736043.887966,39.977,22041.219,0.067,155.425,0.382,0.01,1744736043.887966,50.001,25572.672,35918.297,-34.586,-334.32,6.0,1744736043.9404135,156.5,-2.6,1744736043.827801,957,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[686, 31, 16, 6, 2, 3, 2, 5, 11, 13, 14, 17, 18, 24, 27, 27, 27, 21, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736044.040949,6.360000000000001,0.006533333333333334,1744736044.8323233,nan,nan,nan,nan,1744736020.027945,nan
1744736044.8927162,40.006,22056.865,0.067,157.875,0.382,0.01,1744736044.885677,49.995,25568.703,35921.924,-34.456,-334.42,6.0,1744736044.9535775,156.53,-2.7,1744736044.8323233,1060,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[720, 33, 19, 7, 2, 3, 3, 5, 13, 20, 18, 24, 27, 29, 32, 34, 34, 26, 6, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736045.0454984,5.413333333333331,-0.00013333333333333334,1744736045.8384411,nan,nan,nan,nan,1744736020.027945,nan
1744736045.8990662,39.98,22030.395,0.08,157.875,0.382,0.008,1744736045.8990662,49.997,25568.859,35935.489,-34.235,-335.122,6.0,1744736045.9595664,156.4,-2.7,1744736045.8254092,1147,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[751, 33, 21, 7, 2, 4, 3, 6, 14, 21, 20, 26, 31, 30, 36, 40, 45, 32, 13, 9, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736046.051103,6.253333333333333,0.0006666666666666666,1744736046.854501,nan,nan,nan,nan,1744736020.027945,nan
1744736046.9151804,40.005,22043.547,0.08,160.219,0.381,0.008,1744736046.9151804,50.0,25571.056,35942.565,-34.191,-334.151,6.0,1744736046.9836266,156.86,-2.8,1744736046.854501,1258,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[793, 36, 22, 7, 2, 4, 5, 8, 19, 29, 21, 35, 41, 41, 44, 42, 51, 33, 13, 9, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736047.0754454,7.466666666666667,-0.0007999999999999999,1744736047.8687367,nan,nan,nan,nan,1744736020.027945,nan
1744736047.9203424,39.997,22031.178,0.017,160.219,0.381,0.009,1744736047.9203424,50.002,25572.969,35947.452,-34.196,-334.442,6.0,1744736047.990365,156.64,-2.9,1744736047.8602233,1379,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[847, 38, 22, 9, 2, 4, 7, 8, 23, 31, 21, 40, 54, 48, 60, 48, 58, 33, 13, 9, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736048.0869522,6.066666666666668,-0.0005333333333333329,1744736048.8657513,nan,nan,nan,nan,1744736020.027945,nan
1744736048.9229214,39.997,22031.178,0.017,160.219,0.381,0.009,1744736048.9229214,50.002,25572.969,35947.452,-34.196,-334.442,6.0,1744736048.9839692,156.83,-2.9,1744736048.8657513,1482,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[892, 39, 24, 11, 2, 5, 8, 9, 25, 32, 24, 47, 66, 61, 65, 55, 58, 33, 13, 9, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736049.0897324,6.466666666666667,0.00013333333333333334,1744736049.8525584,nan,nan,nan,nan,1744736020.027945,nan
1744736049.9087996,40.016,22042.482,0.071,158.908,0.382,0.009,1744736049.8972754,50.001,25574.136,35981.518,-34.432,-334.537,6.0,1744736049.9755936,156.29,-3.0,1744736049.842544,1542,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[926, 43, 25, 11, 3, 5, 8, 10, 25, 32, 25, 52, 67, 68, 67, 57, 59, 33, 13, 9, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736050.0648692,6.399999999999998,-0.0022666666666666673,1744736050.8828416,nan,nan,nan,nan,1744736020.027945,nan
1744736051.3304627,39.998,22034.553,0.071,158.908,0.382,0.007,1744736050.9345803,49.999,25574.205,35963.024,-34.472,-334.629,6.0,1744736050.9956324,156.15,-3.0,1744736050.8828416,1608,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[971, 44, 25, 11, 3, 5, 8, 10, 25, 33, 25, 53, 68, 75, 75, 59, 59, 33, 13, 9, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736051.1025426,6.413333333333335,0.0014666666666666667,1744736051.886614,nan,nan,nan,nan,1744736020.027945,nan
1744736051.9667213,39.999,22033.786,0.071,160.259,0.382,0.007,1744736051.9398181,49.999,25574.19,35960.414,-34.433,-335.053,6.0,1744736052.0005143,156.25,-3.0,1744736051.886614,1710,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1010, 47, 25, 12, 3, 6, 8, 10, 27, 38, 28, 60, 76, 93, 86, 63, 59, 33, 13, 9, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736052.109086,6.680000000000002,0.0035999999999999995,1744736052.902314,nan,nan,nan,nan,1744736020.027945,nan
1744736052.9911714,40.002,22033.414,0.034,160.259,0.382,0.011,1744736052.986508,49.998,25572.541,35952.328,-34.276,-334.607,6.0,1744736053.0078142,156.55,-3.0,1744736052.8912842,1832,"[8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 37, 40, 43, 46, 49, 52, 55, 58, 62, 66, 70, 75, 80, 90, 100]","[1060, 49, 25, 12, 3, 6, 9, 10, 27, 39, 31, 67, 82, 101, 104, 76, 69, 35, 13, 10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1744736053.1156359,6.413333333333332,0.0027999999999999995,1744736053.8945098,nan,nan,nan,nan,1744736020.027945,nan
